depo_kod;urun_kod;stok
9001;1003623;175
9001;1003624;3
9001;1003626;175
9001;1003627;281
9001;1003632;34
9001;1003634;116
9001;1003648;4
9001;1003650;52
9001;1003829;264
9001;1004042;549
9001;1004043;753
9001;1004148;139
9001;1004153;1599
9001;1004154;1
9001;1004217;1126
9001;1004229;323
9001;1004235;64
9001;1004270;144
9001;1004271;432
9001;1004308;576
9001;1004311;576
9001;1004327;288
9001;1004328;576
9001;1004337;144
9001;1004389;360
9001;1004400;4
9001;1004420;2
9001;1004435;120
9001;1004509;97
9001;1004516;529
9001;1004548;3
9001;1004555;86
9001;1004560;3
9001;1004604;303
9001;1005229;50
9001;1005233;1
9001;1005235;2948
9001;1005269;289
9001;1005270;162
9001;1005294;1328
9001;1005295;82
9001;1005969;5
9001;1006139;13
9001;1006140;6
9001;1006152;8
9001;1006472;180
9001;1006474;7
9001;1006477;193
9001;1006538;52
9001;1006540;245
9001;1006550;1262
9001;1006637;2
9001;1006654;139
9001;1006655;988
9001;1006656;132
9001;1006870;291
9001;1006967;11
9001;1007014;2
9001;1007553;123
9001;1007603;125
9001;1007606;125
9001;1007981;19
9001;1008536;36
9001;1008559;1674
9001;1008561;139
9001;1008839;354
9001;1008840;245
9001;1008882;102
9001;1008884;102
9001;1008885;215
9001;1008886;358
9001;1008935;320
9001;1008962;109
9001;1008965;241
9001;1008968;301
9001;1009032;432
9001;1009033;468
9001;1009057;503
9001;1009058;86
9001;1009060;33
9001;1009062;329
9001;1009063;31
9001;1009064;372
9001;1009065;250
9001;1009204;36
9001;1009223;160
9001;1009298;1544
9001;1009299;569
9001;1009346;491
9001;1009426;532
9001;1009430;838
9001;1009505;111
9001;1009542;44
9001;1009543;69
9001;1009544;50
9001;1009577;233
9001;1009578;13080
9001;1009596;3291
9001;1009627;193
9001;1009629;95
9001;1009630;99
9001;1009631;223
9001;1009633;116
9001;1009688;1
9001;1009738;149
9001;1009742;29
9001;1009747;33
9001;1009751;77
9001;1009818;282
9001;1009862;360
9001;1009863;36
9001;1009912;2
